season,points_id,player_id,win_points,placement,match_id,location_name,nickname,cum_sum_placement,cum_sum_placement_season
2023/2024,202376210,2,129,2,76,"Xbowling Strašnice",Helcl,129,8
2023/2024,202376310,3,99,4,76,"Xbowling Strašnice",Vrbic,209,21
2023/2024,202376410,4,131,1,76,"Xbowling Strašnice",Spinda,189,10
2023/2024,202377110,1,173,1,77,"Xbowling Strašnice",Pichy,230,22
2023/2024,202377210,2,129,3,77,"Xbowling Strašnice",Helcl,132,11
2023/2024,202377310,3,90,4,77,"Xbowling Strašnice",Vrbic,213,25
2023/2024,202377410,4,161,2,77,"Xbowling Strašnice",Spinda,191,12
2023/2024,202478110,1,166,2,78,Xbowling Strašnice,Pichy,232,24
2023/2024,202478210,2,167,1,78,Xbowling Strašnice,Helcl,133,12
2023/2024,202478310,3,110,4,78,Xbowling Strašnice,Vrbic,217,29
2023/2024,202478410,4,136,3,78,Xbowling Strašnice,Spinda,194,15
2023/2024,202479110,1,130,2,79,Xbowling Strašnice,Pichy,234,26
2023/2024,202479210,2,148,1,79,Xbowling Strašnice,Helcl,134,13
2023/2024,202479310,3,101,4,79,Xbowling Strašnice,Vrbic,221,33
2023/2024,202479410,4,106,3,79,Xbowling Strašnice,Spinda,197,18
2023/2024,202480110,1,141,1,80,"Xbowling Prosek",Pichy,235,27
2023/2024,202480210,2,140,2,80,"Xbowling Prosek",Helcl,136,15
2023/2024,202480310,3,94,4,80,"Xbowling Prosek",Vrbic,225,37
2023/2024,202480410,4,138,3,80,"Xbowling Prosek",Spinda,200,21
2023/2024,202481110,1,121,3,81,"Xbowling Prosek",Pichy,238,30
2023/2024,202481210,2,114,4,81,"Xbowling Prosek",Helcl,140,19
2023/2024,202481310,3,217,1,81,"Xbowling Prosek",Vrbic,226,38
2023/2024,202481410,4,173,2,81,"Xbowling Prosek",Spinda,202,23
2023/2024,202482110,1,124,4,82,"Xbowling Prosek",Pichy,242,34
2023/2024,202482210,2,144,3,82,"Xbowling Prosek",Helcl,143,22
